response,rt,difficulty,subj_idx
0,2.733333333,3,0
0,0.133333333,3,0
0,0.566666667,3,0
0,0.033333333,3,0
0,0.233333333,3,0
0,0.433333333,3,0
0,0.533333333,3,0
0,1.066666667,3,0
0,0.6,3,0
1,0,3,0
1,-0.666666667,3,0
0,0.3,3,0
0,1.066666667,3,0
0,1.766666667,3,0
0,2.5,3,0
0,1.433333333,3,0
1,-0.566666667,3,0
1,2.433333333,3,0
1,-0.6,3,0
1,0.9,3,0
1,0.366666667,3,0
1,-0.233333333,3,0
0,1.266666667,3,0
0,2.833333333,3,0
1,-0.1,3,0
0,0.4,3,0
0,0.5,3,0
0,0.733333333,3,0
0,1.733333333,3,0
0,1.833333333,3,0
0,2.2,3,0
0,0.566666667,3,0
0,1.1,3,0
0,2.733333333,3,0
0,1.3,3,0
1,-0.466666667,3,0
1,-0.233333333,3,0
0,0.466666667,3,0
0,1.166666667,3,0
0,2.2,3,0
0,0.766666667,3,0
0,1.333333333,3,0
0,0.833333333,3,0
1,-0.233333333,3,0
0,1.566666667,3,0
0,0.6,3,0
1,-0.833333333,3,0
1,-0.1,3,0
0,0.7,3,0
1,2.433333333,3,0
1,1.3,3,0
0,2.266666667,3,0
1,-0.666666667,3,0
0,0.333333333,3,0
0,0,3,0
0,0.3,3,0
1,-0.933333333,3,0
0,0.933333333,3,0
0,0.4,3,0
0,0.666666667,3,0
0,0.9,3,0
1,-0.166666667,3,0
0,0.766666667,3,0
0,1.166666667,3,0
1,1.1,3,0
0,2.233333333,3,0
0,1.066666667,3,0
1,1.8,3,0
0,0.1,3,0
0,0.1,3,0
0,0.2,3,0
1,-0.7,3,0
1,-0.4,3,0
1,-0.9,3,0
0,2.933333333,3,0
1,0.066666667,3,0
0,-0.1,3,0
0,1.466666667,3,0
0,1.1,3,0
0,0.333333333,3,0
0,2.2,3,0
1,-0.2,3,0
0,1.566666667,3,0
0,1.1,3,0
0,1.066666667,3,0
0,0.3,3,0
0,1.666666667,3,0
0,1.333333333,3,0
0,0.8,3,0
0,1.066666667,3,0
0,0.366666667,3,0
1,1.133333333,3,0
0,0.566666667,3,0
0,2.433333333,3,0
0,0.133333333,3,0
1,1.066666667,3,0
1,-0.333333333,3,0
1,-0.5,3,0
1,0.666666667,3,0
1,0.733333333,3,0
1,-0.266666667,3,0
1,1.133333333,3,0
0,1,3,0
1,1.566666667,3,0
0,1.366666667,3,0
0,0.233333333,3,0
0,0.4,3,0
0,0.366666667,3,0
1,0.1,3,0
0,0.9,3,0
0,1.7,3,0
0,0.366666667,3,0
0,0.333333333,3,0
0,0.333333333,3,0
1,-0.133333333,3,0
1,-0.466666667,3,0
0,1.1,3,0
0,1.7,3,0
1,2.733333333,3,0
0,0.3,3,0
1,0.966666667,3,0
0,0.9,3,0
0,0.033333333,3,0
0,1.166666667,3,0
1,-0.666666667,3,0
0,2.366666667,3,0
0,0.3,3,0
1,1.8,3,0
0,0.4,3,0
0,0.433333333,3,0
1,-0.233333333,3,0
1,-0.933333333,3,0
1,-0.766666667,3,0
0,1.333333333,3,0
0,1.3,3,0
0,1.566666667,3,0
0,2.5,3,0
1,-0.6,3,0
1,-0.666666667,3,0
1,2.466666667,3,0
1,-0.633333333,3,0
1,-0.233333333,3,0
0,1.833333333,3,0
